,Indicator,Type,Organization,Rating,Confidence,DateAdded,Description,Source,Tags
3261,156.67.114.199,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-09T02:55:40Z,,,Heodo;
3262,203.117.253.142,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-14T02:55:13Z,,,Heodo;
3263,217.160.19.232,Address,abuse.ch Feodo Tracker,3.0,17,2019-11-05T02:55:09Z,,,2021-01-26;Heodo;
3264,111.119.233.65,Address,abuse.ch Feodo Tracker,3.0,5,2019-11-05T02:55:09Z,,,Heodo;
3265,87.127.197.7,Address,abuse.ch Feodo Tracker,3.0,5,2020-02-16T02:55:08Z,,,Heodo;
3266,27.83.209.210,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-21T02:55:14Z,,,Heodo;
3267,145.239.169.32,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-15T02:55:14Z,,,Heodo;
3268,62.108.35.9,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-06T02:55:11Z,,,TrickBot;
3269,185.172.165.211,Address,abuse.ch Feodo Tracker,3.0,5,2020-07-22T02:55:11Z,,,TrickBot;
3270,93.103.89.117,Address,abuse.ch Feodo Tracker,3.0,5,2021-01-15T02:56:56Z,,,Heodo;
3271,202.131.227.229,Address,abuse.ch Feodo Tracker,3.0,65,2021-04-13T08:00:38Z,,,2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;
3272,45.55.134.126,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-05T19:01:05Z,,,2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17;2021-05-18;2021-05-19;2021-05-20;2021-05-21;2021-05-22;2021-05-23;2021-05-24;2021-05-25;2021-05-26;2021-05-27;2021-05-28;2021-05-29;2021-05-30;2021-05-31;2021-06-01;2021-06-02;2021-06-03;2021-06-04;2021-06-05;2021-06-06;
3273,186.33.185.229,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-29T02:57:12Z,,,Heodo;
3274,93.51.50.171,Address,abuse.ch Feodo Tracker,3.0,5,2020-03-07T02:55:07Z,,,Heodo;
3275,190.1.37.125,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-12T02:55:54Z,,,Heodo;
3276,37.70.131.107,Address,abuse.ch Feodo Tracker,3.0,5,2019-12-19T02:55:10Z,,,Heodo;
3277,200.123.150.89,Address,abuse.ch Feodo Tracker,3.0,5,2019-09-11T02:55:19Z,,,Heodo;
3278,47.144.21.12,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-01T02:55:12Z,,,Heodo;
3279,202.29.239.162,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-29T02:55:13Z,,,Heodo;
3280,91.146.156.228,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-30T02:55:11Z,,,Heodo;
3281,213.32.84.27,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-24T02:55:13Z,,,TrickBot;
3282,58.185.224.18,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-21T02:55:47Z,,,Heodo;
3283,91.242.31.70,Address,abuse.ch Feodo Tracker,3.0,5,2021-01-09T02:56:46Z,,,Heodo;
3284,118.69.71.14,Address,abuse.ch Feodo Tracker,3.0,5,2020-02-18T02:55:12Z,,,Heodo;
3285,105.27.155.182,Address,abuse.ch Feodo Tracker,3.0,5,2020-02-01T02:55:10Z,,,Heodo;
3286,201.82.155.121,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-11T02:55:53Z,,,Heodo;
3287,98.142.208.27,Address,abuse.ch Feodo Tracker,3.0,5,2020-06-22T02:55:53Z,,,Heodo;
3288,63.248.198.8,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-25T02:56:10Z,,,Heodo;
3289,5.189.168.53,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-17T02:55:11Z,,,Heodo;
3290,68.115.186.26,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-27T02:55:15Z,,,Heodo;
3291,200.116.159.183,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-05T02:55:14Z,,,TrickBot;
3292,46.17.107.116,Address,abuse.ch Feodo Tracker,3.0,5,2020-07-23T02:55:11Z,,,TrickBot;
3293,24.253.16.214,Address,abuse.ch Feodo Tracker,3.0,5,2021-01-15T02:56:56Z,,,Heodo;
3294,185.175.156.13,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-17T02:56:30Z,,,TrickBot;
3295,86.98.143.163,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-20T02:55:18Z,,,Heodo;
3296,107.185.211.16,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-12T02:55:14Z,,,Heodo;
3297,63.246.252.234,Address,abuse.ch Feodo Tracker,3.0,5,2019-12-04T02:55:11Z,,,Heodo;
3298,108.48.41.69,Address,abuse.ch Feodo Tracker,3.0,5,2020-07-05T02:55:12Z,,,Heodo;
3299,107.170.146.252,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-27T02:55:15Z,,,Heodo;
3300,121.7.31.214,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-24T02:55:12Z,,,Heodo;
3301,117.222.63.145,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-24T02:55:12Z,,,TrickBot;
3302,202.229.211.95,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-21T02:55:43Z,,,Heodo;
3303,118.174.151.25,Address,abuse.ch Feodo Tracker,3.0,5,2021-01-15T02:56:57Z,,,Heodo;
